#{"t_start": 1779434569.0450292, "env_id": "None"}
r,l,t
357.339301,196,528.496843
2072.572071,1034,533.273329
2062.25687,1041,539.527142
785.454211,305,541.172774
-18.839197,92,541.631558
32.226566,109,542.201374
844.644137,326,543.90068
20.332049,108,544.458563
63.976313,120,545.066963
879.567745,332,546.784423
54.739037,122,547.438007
101.820946,131,548.147544
142.134988,140,549.535671
38.838995,109,550.097948
117.477961,138,550.841624
118.138709,134,551.529901
195.856899,150,552.311306
33.298328,109,552.864506
2054.547039,1015,557.777833
-10.562144,96,558.27386
27.973041,111,558.857015
804.781191,304,561.090807
-15.190531,99,561.596922
40.529032,114,562.203305
950.941511,344,564.053051
7.343357,104,564.585418
139.831448,143,565.337565
130.694009,138,566.063072
40.179985,111,566.632873
310.34163,185,567.60641
73.503052,120,568.225166
148.093967,141,568.945682
94.17261,128,569.598915
2042.486433,1010,575.694764
223.012023,160,576.514261
1015.743517,370,578.50949
403.491997,204,579.628432
-20.041724,92,580.110139
909.703606,369,582.071736
702.675577,279,584.268829
806.168054,308,585.919313
1.249606,104,586.455085
524.479198,238,587.754302
36.702417,108,588.2984
55.230228,112,588.867314
106.291472,129,589.523214
-9.372181,95,590.008166
815.943131,310,591.642809
-8.507387,98,592.157917
773.489826,299,593.801891
650.69551,265,595.923543
100.65068,126,596.577879
325.308432,182,597.553763
924.726072,366,599.300062
24.931452,114,599.891325
248.434526,171,600.82068
903.037734,365,602.747907
1088.452211,445,604.979613
-33.319356,96,605.487167
784.431001,317,607.885425
42.53157,117,608.492849
113.117255,134,609.203204
220.885101,156,610.023985
527.952061,231,611.260777
2101.99605,1009,616.767754
282.441106,175,618.37137
915.886718,343,620.140895
32.936171,113,620.740001
540.715773,235,621.982372
2.072816,101,622.483796
38.184335,114,623.073459
866.471582,318,624.665733
452.635803,225,625.888826
14.868469,108,626.453263
390.502261,197,627.488425
1085.745047,409,630.445271
-40.775239,88,630.9086
870.754246,330,632.739809
-54.691126,87,633.190754
2076.030803,999,637.721969
27.522897,109,638.274877
45.608131,116,638.862074
494.144122,225,640.728474
224.055584,157,641.522463
901.451701,348,643.257523
820.372775,303,644.868511
820.831134,310,646.492277
793.01498,298,648.101754
800.758219,305,649.636435
-3.947831,98,650.131532
61.277148,120,651.432032
2087.423201,1020,656.485523
840.345863,306,658.134966
811.562913,297,659.640717
2074.624837,1012,665.731324
888.29343,326,667.387587
680.414428,271,668.872482
790.16076,309,670.404482
445.581121,216,671.580126
888.437379,319,673.155401
-44.096017,87,674.289744
816.395593,306,675.943895
756.74886,292,677.501489
627.667057,258,678.869536
871.986704,324,680.614727
2101.553405,1005,686.547254
408.870793,208,687.604285
2089.311104,1029,693.023781
2078.000068,1032,699.596118
711.428739,286,701.076899
927.331005,410,703.275564
18.992805,110,703.82748
685.364196,273,705.342769
754.602493,294,706.931107
782.687049,302,709.305643
125.368313,136,710.008748
923.915021,345,711.872579
842.946577,315,713.432209
13.26752,102,713.959258
650.042435,262,715.333866
-17.449074,99,715.857005
545.210618,236,717.095685
711.78633,287,718.627874
715.258965,281,720.682165
-15.649536,95,721.185531
1018.979834,371,723.136688
-20.330671,101,723.668608
719.446082,279,725.16497
816.962471,319,726.827876
954.79863,352,728.732291
714.831331,284,730.226934
969.452021,354,732.711888
824.891906,310,734.282206
492.580927,227,735.479715
910.047329,331,737.085332
368.311121,196,738.150894
1008.476964,367,740.002727
10.352997,105,740.556592
698.325795,284,742.130142
39.206667,114,743.367427
608.570248,253,744.781281
1120.170066,471,747.51939
2072.24778,1002,752.026122
2052.350903,1043,757.762286
2071.232438,998,763.192441
748.9944,289,765.283152
169.456211,146,766.060523
2125.922494,992,771.60571
2093.404475,1009,777.506739
870.83863,365,779.288569
1318.849029,575,782.147851
603.769989,247,783.442143
2104.992779,995,788.722998
959.330125,356,790.613843
918.714921,370,792.579974
2061.047493,1016,797.729698
914.134295,362,800.331477
6.865852,103,800.869189
2106.567007,992,805.679597
2094.672197,1010,811.131757
168.493923,148,811.902885
2124.373849,990,817.199192
2128.859659,974,822.830749
304.706287,177,823.750922
907.916734,362,825.63925
199.595336,159,826.490276
884.802152,350,828.351592
2120.344516,1011,834.261386
2103.063432,1006,839.109313
1046.854841,389,841.218041
903.305108,332,843.392393
-64.646248,81,843.843192
906.436929,334,845.61884
896.819351,361,847.352316
899.502959,363,849.126276
776.181563,296,850.683003
947.682353,349,852.55731
1031.404526,371,855.33332
963.643106,346,857.06449
325.683905,188,858.127753
845.438188,312,859.748747
880.4074,349,861.624503
881.250681,326,863.376698
1001.601845,376,866.156565
-57.036931,87,866.626204
915.222962,365,868.622103
202.869561,159,869.488692
879.696348,354,871.536262
870.376774,353,873.453859
584.108379,246,874.743351
873.353455,357,876.652412
209.099731,161,878.159132
1030.878239,375,880.224931
588.183738,245,881.530271
2115.147108,1023,886.736179
2127.302788,1015,892.349558
854.503966,346,894.15972
951.016412,348,895.838135
1089.078025,463,898.54125
704.098242,277,900.620817
2098.400079,1005,905.422821
2130.095921,985,911.454554
902.650377,352,913.187747
847.057101,316,914.736344
739.943447,285,916.191308
833.649672,315,917.940871
2107.656436,1032,923.700675
852.620582,323,925.476038
915.836456,372,927.369952
875.606724,349,929.186971
913.336604,363,931.174609
989.907112,370,933.845707
874.831864,349,935.709687
882.684544,328,937.330912
648.318103,267,938.813026
884.926883,345,940.63998
421.87262,206,941.73581
2122.935522,1011,948.113999
901.31581,353,949.894401
783.273345,294,951.33406
906.836921,360,953.235549
1062.31053,388,955.294337
296.206966,185,956.950875
916.940944,372,958.801735
592.337253,253,960.155093
881.973963,351,962.096122
995.558134,358,963.97838
357.61583,196,965.018586
2112.737662,1003,970.692677
1617.421086,741,974.726633
2127.03163,1001,980.810653
2126.076868,966,985.586779
988.007929,358,987.602901
2115.141999,987,993.141542
2108.557539,999,998.150777
950.83387,343,999.982893
2114.521245,1009,1005.623634
911.896037,363,1007.314016
340.207901,196,1008.390336
872.542228,347,1010.2213
2117.308525,986,1016.195088
2119.025495,981,1020.944891
2119.625425,985,1026.519097
2133.017081,971,1031.680654
2122.900099,1019,1037.420233
2134.157947,952,1042.843934
2131.718021,970,1048.928206
926.205066,360,1050.755337
904.438215,351,1052.680497
1626.969666,737,1056.579995
2117.043062,969,1062.535983
2143.802453,968,1067.088239
2130.013378,984,1072.53404
908.497976,354,1074.378584
932.266226,370,1076.401255
2113.143276,1000,1082.276864
874.8122,333,1084.047378
923.817636,322,1085.774974
905.092886,345,1087.655933
1070.367205,409,1089.814882
2142.84918,979,1095.536731
889.619006,348,1097.373995
910.018385,354,1099.271988
2128.084634,981,1104.710963
2150.504305,960,1109.718015
926.496531,360,1111.62057
891.415417,361,1113.481499
2132.336304,967,1119.138186
2094.944201,952,1124.116096
2117.42732,969,1130.095372
2135.185341,964,1135.190939
2104.920759,938,1141.267025
2128.993461,950,1146.203689
912.484954,348,1148.200181
903.820733,352,1150.666601
2148.247732,937,1155.57153
2114.962277,936,1160.539084
2135.224728,946,1165.210528
2135.272194,946,1170.423174
2152.018821,948,1175.849279
2121.426031,962,1180.379885
2124.922456,925,1185.669927
1616.942607,715,1189.519285
1626.918626,721,1193.986681
2132.448454,935,1198.61955
933.830498,360,1200.556392
883.431203,338,1202.307942
2131.854139,949,1207.732583
2101.538742,951,1212.402221
2108.344962,940,1218.949955
2091.467713,968,1224.156174
2132.208109,957,1229.049567
2112.809642,954,1233.916809
2080.861915,951,1239.183893
2135.698758,967,1243.944029
920.098684,354,1245.765241
2084.108657,979,1251.404545
2107.325461,959,1256.445377
2050.74079,967,1261.117301
2126.036262,960,1265.794866
2123.90094,947,1271.181388
1617.079803,715,1274.729822
2139.30199,976,1279.394698
2147.952232,941,1284.311984
2137.023889,928,1288.990888
2135.768546,929,1293.717961
1651.34285,729,1297.68108
2143.233456,952,1303.027758
2119.730631,968,1308.164092
1058.715312,382,1310.209767
660.251098,257,1311.571786
2132.828305,958,1317.167699
868.650084,306,1318.814507
289.951527,175,1319.7614
717.711689,272,1321.191442
555.982464,234,1322.467894
919.082426,355,1324.339241
917.032734,353,1326.984372
907.97888,355,1328.726114
1186.325932,472,1331.41672
2095.579068,966,1337.422489
2135.831665,960,1342.667267
2122.277496,948,1347.231525
855.457534,305,1348.99308
821.811004,303,1350.765702
340.382076,182,1351.706934
870.701765,307,1353.339233
311.22618,183,1354.342077
933.970155,333,1356.191943
357.623113,193,1357.221896
1605.0594,746,1361.816162
710.310449,275,1363.200476
1613.558506,753,1367.193751
2126.472509,967,1373.049789
2122.12761,978,1378.381708
1011.673619,371,1380.294263
257.529665,165,1381.174437
2121.073785,964,1387.149786
918.005662,357,1389.087038
2132.065213,978,1395.022278
2128.199092,963,1400.057484
1629.436069,750,1403.73461
2140.835341,975,1409.299695
2126.226057,962,1413.919097
2121.061192,961,1419.07703
2131.088887,954,1423.960595
809.593583,295,1425.443519
-40.287957,85,1425.87196
206.064241,153,1427.409978
2103.14227,971,1432.441015
933.159313,336,1434.250855
1027.345703,367,1436.187324
703.859118,268,1437.645561
1410.288516,588,1441.686934
2088.681662,1008,1446.996443
2123.170601,993,1452.54222
2110.308011,979,1457.638486
2089.933646,981,1463.039449
2136.304488,983,1468.164865
2131.937311,967,1473.503693
2108.636441,965,1478.706557
2128.623953,974,1483.738908
2113.661888,976,1488.578349
245.511016,165,1489.44933
2092.838248,1007,1494.898174
2119.209109,988,1499.639718
1611.12321,724,1503.394978
943.360552,337,1506.018381
300.01737,173,1506.929046
1046.539265,374,1508.921963
911.17563,354,1510.873485
753.109962,282,1512.429393
556.718937,233,1513.685695
2113.502081,981,1519.610823
1615.132166,735,1523.259923
1032.538816,369,1525.282644
699.153291,267,1526.716935
2135.168752,958,1532.172107
2117.058805,980,1537.472569
1608.74099,759,1541.332811
2126.557772,979,1546.279348
2108.887237,980,1551.795237
2110.920944,976,1556.771275
2092.4987,983,1562.585396
2098.800954,983,1567.689827
